molecule,augmented_lalas,lalas,n_rings,n_branching_points,n_secondary_branching_points,n_LAL,L_ratio,longest_L,longest_L_degeneracy,second_longest_L,A_ratio,A_ratio_insensitive,Aa_ratio,longest_A,longest_A_insensitive,longest_A_degeneracy,second_longest_A,second_longest_A_insensitive
hc_c14h10_0pent_1,A,A,3,0,0,0,0.0000,0,2,0,1.0000,1.0000,0.0000,1,1,1,0,0
hc_c14h10_0pent_2,L,L,3,0,0,0,1.0000,1,1,0,0.0000,0.0000,0.0000,0,0,0,0,0
hc_c18h12_0pent_1,A(),A(),4,1,0,0,0.0000,0,4,0,0.5000,0.5000,0.0000,1,1,1,0,0
hc_c18h12_0pent_2,Aa,AA,4,0,0,0,0.0000,0,3,0,0.5000,1.0000,1.0000,1,2,1,0,0
hc_c18h12_0pent_3,AA,AA,4,0,0,0,0.0000,0,3,0,1.0000,1.0000,0.0000,2,2,1,0,0
hc_c18h12_0pent_4,LA,LA,4,0,0,0,0.5000,1,1,0,0.5000,0.5000,0.0000,1,1,1,0,0
hc_c18h12_0pent_5,LL,LL,4,0,0,0,1.0000,2,1,0,0.0000,0.0000,0.0000,0,0,0,0,0
hc_c22h14_0pent_1,AA(),AA(),5,1,0,0,0.0000,0,5,0,0.6667,0.6667,0.0000,2,2,1,0,0
hc_c22h14_0pent_10,ALA,ALA,5,0,0,0,0.3333,1,1,0,0.6667,0.6667,0.0000,1,1,2,0,0
hc_c22h14_0pent_11,LLA,LLA,5,0,0,0,0.6667,2,1,0,0.3333,0.3333,0.0000,1,1,1,0,0
hc_c22h14_0pent_12,LLL,LLL,5,0,0,0,1.0000,3,1,0,0.0000,0.0000,0.0000,0,0,0,0,0
hc_c22h14_0pent_2,AAa,AAA,5,0,0,0,0.0000,0,4,0,0.6667,1.0000,0.5000,2,3,1,1,0
hc_c22h14_0pent_3,AaA,AAA,5,0,0,0,0.0000,0,4,0,0.6667,1.0000,0.5000,1,3,1,0,0
hc_c22h14_0pent_4,AAA,AAA,5,0,0,0,0.0000,0,4,0,1.0000,1.0000,0.0000,3,3,1,0,0
hc_c22h14_0pent_5,LAA,LAA,5,0,0,0,0.3333,1,1,0,0.6667,0.6667,0.0000,2,2,1,0,0
hc_c22h14_0pent_6,LAL,LAL,5,0,0,1,0.6667,1,2,0,0.3333,0.3333,0.0000,1,1,1,0,0
hc_c22h14_0pent_7,LAa,LAA,5,0,0,0,0.3333,1,1,0,0.3333,0.6667,1.0000,1,2,1,0,0
hc_c22h14_0pent_8,LA(),LA(),5,1,0,0,0.3333,1,1,0,0.3333,0.3333,0.0000,1,1,1,0,0
hc_c22h14_0pent_9,ALa,ALA,5,0,0,0,0.3333,1,1,0,0.3333,0.6667,1.0000,1,1,2,0,0
hc_c26h16_0pent_1,AAA(),AAA(),6,1,0,0,0.0000,0,6,0,0.7500,0.7500,0.0000,3,3,1,0,0
hc_c26h16_0pent_10,AaAa,AAAA,6,0,0,0,0.0000,0,5,0,0.5000,1.0000,1.0000,1,4,1,0,0
hc_c26h16_0pent_11,A()Aa,A()AA,6,1,0,0,0.0000,0,6,0,0.5000,0.7500,0.5000,2,3,1,1,0
hc_c26h16_0pent_12,AAAA,AAAA,6,0,0,0,0.0000,0,5,0,1.0000,1.0000,0.0000,4,4,1,0,0
hc_c26h16_0pent_13,LAAA,LAAA,6,0,0,0,0.2500,1,1,0,0.7500,0.7500,0.0000,3,3,1,0,0
