molecule_id smiles
hc_c46h26_0pent_26700 c1ccc2cc3cc4cc5cc6c(cc5cc4cc3cc2c1)c1cc2ccc3ccccc3c2cc1c1c2ccccc2ccc61
hc_c46h26_0pent_1969 c1ccc2c(c1)ccc1ccc3ccc4c5ccc6c(c5ccc4c3c12)c1ccccc1c1c2ccccc2c2ccccc2c61
hc_c46h26_0pent_13011 c1ccc2c(c1)ccc1ccc3c4ccccc4c4ccc5c6cc7c8ccccc8c8ccccc8c7cc6ccc5c4c3c12
hc_c46h26_0pent_15114 c1ccc2cc3c(ccc4c3ccc3ccc5c6cc7c8ccccc8c8c9ccccc9ccc8c7cc6ccc5c34)cc2c1
hc_c46h26_0pent_2970 c1ccc2c(c1)ccc1c2ccc2ccc3c4ccccc4c4cc5c6ccccc6c6c7ccccc7ccc6c5cc4c3c21
hc_c46h26_0pent_10491 c1ccc2cc3c(ccc4c5ccc6ccccc6c5c5ccc6c(ccc7ccc8ccc9ccccc9c8c76)c5c34)cc2c1
hc_c42h24_0pent_2188 c1ccc2cc3c(ccc4cc5c(cc43)c3ccccc3c3c4ccc6ccccc6c4c4ccccc4c53)cc2c1
hc_c42h24_0pent_5824 c1ccc2cc3c(ccc4cc5cc6c(ccc7c8cc9ccccc9cc8c8ccccc8c67)cc5cc43)cc2c1
hc_c46h26_0pent_11767 c1ccc2cc3c(ccc4c5ccc6cc7ccccc7cc6c5c5c(ccc6ccc7c8ccccc8ccc7c65)c34)cc2c1
hc_c46h26_0pent_22336 c1ccc2cc3cc4c(ccc5c4ccc4c5c5ccccc5c5c6ccccc6c6cc7ccccc7cc6c45)cc3cc2c1
hc_c46h26_0pent_23354 c1ccc2cc3c(cc2c1)c1ccccc1c1c2cc4cc5ccc6ccc7ccccc7c6c5cc4cc2c2ccccc2c31
hc_c42h24_0pent_5790 c1ccc2c(c1)ccc1cc3cc4ccc5c(ccc6c5ccc5ccc7ccc8ccccc8c7c56)c4cc3cc12
