molecule_id,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_2188,-5.355,-1.934,3.421,0.203,-43887.629,-43881.304,-43888.628,-0.998,6.325
hc_c42h24_0pent_5824,-5.066,-2.260,2.806,0.124,-43888.023,-43881.961,-43889.316,-1.293,6.062
hc_c42h24_0pent_5790,-5.115,-2.193,2.922,0.299,-43887.985,-43881.815,-43889.157,-1.172,6.170
hc_c42h24_0pent_1266,-5.328,-1.938,3.390,0.048,-43887.720,-43881.386,-43888.679,-0.960,6.334
hc_c38h22_0pent_768,-5.253,-1.955,3.298,0.047,-39712.349,-39705.996,-39713.221,-0.872,6.353
hc_c42h24_0pent_5527,-5.006,-2.303,2.703,0.129,-43887.817,-43881.793,-43889.136,-1.320,6.023
hc_c42h24_0pent_1500,-5.284,-1.997,3.286,0.110,-43887.259,-43880.933,-43888.269,-1.010,6.326
hc_c42h24_0pent_3769,-5.148,-2.041,3.108,0.388,-43887.694,-43881.490,-43888.737,-1.043,6.204
hc_c42h24_0pent_5660,-5.049,-2.248,2.801,0.129,-43887.318,-43881.275,-43888.601,-1.283,6.043
hc_c42h24_0pent_1343,-5.272,-1.949,3.323,0.301,-43887.729,-43881.444,-43888.693,-0.963,6.285
hc_c42h24_0pent_1657,-5.209,-1.939,3.270,0.334,-43887.085,-43880.770,-43887.958,-0.873,6.315
hc_c42h24_0pent_5061,-5.228,-2.133,3.095,0.156,-43888.560,-43882.298,-43889.673,-1.112,6.263
hc_c42h24_0pent_3214,-5.346,-1.938,3.407,0.329,-43887.959,-43881.615,-43888.946,-0.987,6.344
hc_c42h24_0pent_5088,-5.056,-2.180,2.876,0.042,-43887.636,-43881.627,-43888.821,-1.185,6.009
hc_c42h24_0pent_6434,-4.787,-2.580,2.207,0.099,-43887.120,-43881.290,-43888.682,-1.562,5.829
hc_c42h24_0pent_5724,-5.059,-2.293,2.766,0.128,-43888.380,-43882.294,-43889.665,-1.285,6.086
hc_c42h24_0pent_3306,-5.276,-1.958,3.318,0.285,-43886.902,-43880.577,-43887.852,-0.950,6.324
hc_c42h24_0pent_1693,-5.369,-1.913,3.456,0.076,-43887.670,-43881.304,-43888.607,-0.937,6.366
hc_c42h24_0pent_4567,-4.989,-2.149,2.840,0.298,-43887.179,-43881.025,-43888.643,-1.464,6.154
hc_c42h24_0pent_2742,-5.191,-1.933,3.258,0.448,-43887.315,-43881.042,-43888.189,-0.874,6.273
hc_c38h22_0pent_1170,-5.238,-1.938,3.299,0.040,-39712.016,-39705.671,-39712.876,-0.860,6.345
hc_c38h22_0pent_100,-5.535,-1.706,3.829,0.048,-39712.876,-39706.301,-39713.610,-0.734,6.575
hc_c42h24_0pent_4693,-4.846,-2.491,2.355,0.188,-43887.574,-43881.712,-43889.076,-1.502,5.862
hc_c42h24_0pent_3692,-5.174,-2.088,3.086,0.194,-43888.002,-43881.822,-43889.119,-1.118,6.179
hc_c42h24_0pent_1671,-5.290,-1.970,3.320,0.148,-43887.545,-43881.238,-43888.511,-0.967,6.307
hc_c38h22_0pent_339,-5.182,-2.143,3.039,0.145,-39712.692,-39706.438,-39713.785,-1.093,6.254
hc_c42h24_0pent_2748,-5.309,-1.912,3.396,0.500,-43887.605,-43881.255,-43888.541,-0.936,6.350
hc_c42h24_0pent_3251,-5.208,-2.092,3.116,0.234,-43887.493,-43881.299,-43888.632,-1.139,6.194
hc_c38h22_0pent_553,-5.309,-1.978,3.331,0.018,-39713.342,-39707.031,-39714.343,-1.001,6.311
hc_c42h24_0pent_4792,-5.012,-2.311,2.701,0.138,-43887.793,-43881.760,-43889.105,-1.312,6.033
hc_c42h24_0pent_3161,-5.357,-1.916,3.442,0.357,-43888.049,-43881.697,-43889.013,-0.965,6.351
hc_c42h24_0pent_3988,-5.233,-2.055,3.179,0.138,-43887.801,-43881.592,-43888.910,-1.109,6.209
hc_c42h24_0pent_1540,-5.411,-1.891,3.519,0.148,-43888.438,-43882.024,-43889.332,-0.894,6.415
hc_c42h24_0pent_5227,-5.121,-2.242,2.879,0.037,-43888.434,-43882.263,-43889.647,-1.214,6.171
hc_c42h24_0pent_1187,-5.190,-2.132,3.058,0.089,-43887.668,-43881.468,-43888.795,-1.127,6.200
hc_c42h24_0pent_3446,-5.387,-1.880,3.507,0.382,-43887.861,-43881.447,-43888.781,-0.920,6.415
hc_c38h22_0pent_1470,-5.131,-2.199,2.931,0.066,-39712.965,-39706.773,-39714.131,-1.165,6.192
hc_c42h24_0pent_5321,-5.112,-2.209,2.903,0.083,-43888.041,-43881.947,-43889.301,-1.260,6.094
hc_c42h24_0pent_4004,-5.282,-1.996,3.286,0.125,-43887.320,-43881.021,-43888.333,-1.013,6.300
hc_c42h24_0pent_6351,-4.983,-2.424,2.558,0.134,-43888.368,-43882.351,-43889.779,-1.411,6.018
hc_c38h22_0pent_14,-5.424,-1.815,3.609,0.106,-39711.972,-39705.490,-39712.780,-0.808,6.482
