molecule_id,annulation,n_branches,longest_A,longest_L,longest_L_degeneracy,second_longest_L,ratio_L,n_LAL,n_rings
hc_c38h22_0pent_1550,a()lla()a,2,2,2,1,0,0.4,0,9
hc_c34h20_0pent_154,la(l)la,1,1,1,3,0,0.6,0,8
hc_c42h24_0pent_6610,lllla(l)a,1,1,4,1,1,0.7142857142857143,0,10
hc_c42h24_0pent_2830,aa()aa()al,2,5,1,1,0,0.16666666666666666,0,10
hc_c38h22_0pent_987,laa(a)la,1,3,1,2,0,0.3333333333333333,0,9
hc_c42h24_0pent_2867,alaaaaal,0,5,1,2,0,0.25,0,10
hc_c42h24_0pent_4307,aaaa(a)al,1,6,1,1,0,0.14285714285714285,0,10
hc_c38h22_0pent_113,aa()aaa(),2,5,0,0,0,0.0,0,9
hc_c30h18_0pent_87,aa(l)a,1,2,1,1,0,0.25,0,7
hc_c42h24_0pent_3558,laa(la)al,1,2,1,3,0,0.42857142857142855,0,10
hc_c38h22_0pent_1528,llaa()al,1,3,2,1,1,0.5,0,9
hc_c42h24_0pent_6227,laalllaa,0,2,3,1,1,0.5,0,10
hc_c42h24_0pent_7,a()a(a)aaa,2,6,0,0,0,0.0,0,10
hc_c34h20_0pent_7,aa(a)aa,1,5,0,0,0,0.0,0,8
hc_c42h24_0pent_4822,lla()aaaa,1,5,2,1,0,0.2857142857142857,0,10
hc_c42h24_0pent_5730,llaaaaal,0,5,2,1,1,0.375,0,10
hc_c42h24_0pent_6296,allallla,0,1,3,1,2,0.625,1,10
hc_c42h24_0pent_5415,aalla(l)a,1,2,2,1,1,0.42857142857142855,0,10
hc_c42h24_0pent_473,a()a()aa()a,3,5,0,0,0,0.0,0,10
hc_c38h22_0pent_943,laa(l)al,1,2,1,3,0,0.5,0,9
hc_c42h24_0pent_4889,llaaa()aa,1,5,2,1,0,0.2857142857142857,0,10
hc_c42h24_0pent_634,aaaa()aa(),2,6,0,0,0,0.0,0,10
hc_c42h24_0pent_5652,llaaalaa,0,3,2,1,1,0.375,0,10
hc_c34h20_0pent_390,allaaa,0,3,2,1,0,0.3333333333333333,0,8
hc_c42h24_0pent_6219,ala()alll,1,2,3,1,1,0.5714285714285714,0,10
hc_c42h24_0pent_3522,aaaa(a)la,1,5,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_6105,aalla(a)a,1,3,2,1,0,0.2857142857142857,0,10
hc_c42h24_0pent_2319,lalaa(a)a,1,4,1,2,0,0.2857142857142857,1,10
hc_c42h24_0pent_5800,alla()a()a,2,3,2,1,0,0.3333333333333333,0,10
hc_c42h24_0pent_255,aaaaaaaa,0,8,0,0,0,0.0,0,10
hc_c42h24_0pent_6501,aalaalll,0,2,3,1,1,0.5,0,10
hc_c38h22_0pent_1584,aaaalll,0,4,3,1,0,0.42857142857142855,0,9
hc_c42h24_0pent_1239,laalaaaa,0,4,1,2,0,0.25,0,10
hc_c42h24_0pent_6371,laa(l)lll,1,2,3,1,1,0.7142857142857143,0,10
hc_c42h24_0pent_3423,aa()ala()a,2,3,1,1,0,0.16666666666666666,0,10
hc_c38h22_0pent_488,ala(a)la,1,2,1,2,0,0.3333333333333333,0,9
hc_c42h24_0pent_892,aaa()a()la,2,4,1,1,0,0.16666666666666666,0,10
hc_c26h16_0pent_12,aaaa,0,4,0,0,0,0.0,0,6
hc_c42h24_0pent_3253,laa()a()al,2,4,1,2,0,0.3333333333333333,0,10
hc_c38h22_0pent_956,laala()l,1,2,1,3,0,0.5,0,9
hc_c42h24_0pent_423,aaaaaaaa,0,8,0,0,0,0.0,0,10
hc_c42h24_0pent_5485,alallala,0,1,2,1,1,0.5,2,10
hc_c42h24_0pent_310,aaa()aaaa,1,7,0,0,0,0.0,0,10
hc_c42h24_0pent_395,aa(a)aaaa,1,7,0,0,0,0.0,0,10
hc_c42h24_0pent_4783,aallaa()l,1,2,2,1,1,0.42857142857142855,0,10
hc_c42h24_0pent_3841,laa()la()l,2,2,1,3,0,0.5,0,10
hc_c42h24_0pent_321,aaaaaaaa,0,8,0,0,0,0.0,0,10
hc_c42h24_0pent_795,aaaaalaa,0,5,1,1,0,0.125,0,10
hc_c38h22_0pent_1440,llaaaaa,0,5,2,1,0,0.2857142857142857,0,9
hc_c38h22_0pent_1411,a()llaaa,1,3,2,1,0,0.3333333333333333,0,9
hc_c42h24_0pent_918,aaaa(l)aa,1,4,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_3448,aa()aalaa,1,4,1,1,0,0.14285714285714285,0,10
hc_c38h22_0pent_1000,laalaal,0,2,1,3,0,0.42857142857142855,0,9
hc_c42h24_0pent_4671,allaalaa,0,2,2,1,1,0.375,0,10
hc_c42h24_0pent_5641,allaaall,0,3,2,2,0,0.5,0,10
hc_c42h24_0pent_5437,aa(a)llal,1,3,2,1,1,0.42857142857142855,1,10
hc_c42h24_0pent_3033,alaaalaa,0,3,1,2,0,0.25,0,10
hc_c38h22_0pent_1157,aa()la()a,2,2,1,1,0,0.2,0,9
hc_c38h22_0pent_1414,aa()llaa,1,2,2,1,0,0.3333333333333333,0,9
hc_c42h24_0pent_780,aaaaa()la,1,5,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_5773,aallaa()a,1,3,2,1,0,0.2857142857142857,0,10
hc_c42h24_0pent_5361,alla(l)al,1,1,2,1,1,0.5714285714285714,0,10
hc_c42h24_0pent_5581,a()allaa(),2,2,2,1,0,0.3333333333333333,0,10
hc_c34h20_0pent_368,allala,0,1,2,1,1,0.5,1,8
hc_c38h22_0pent_930,aa()aala,1,4,1,1,0,0.16666666666666666,0,9
hc_c42h24_0pent_1450,a()aalaaa,1,3,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_2374,aalalaa(),1,2,1,2,0,0.2857142857142857,1,10
hc_c38h22_0pent_1632,aaallla,0,3,3,1,0,0.42857142857142855,0,9
hc_c42h24_0pent_1412,aaaaaala,0,6,1,1,0,0.125,0,10
hc_c42h24_0pent_5852,aalla()al,1,2,2,1,1,0.42857142857142855,0,10
hc_c42h24_0pent_5075,lla()llaa,1,2,2,2,0,0.5714285714285714,0,10
hc_c38h22_0pent_146,aaaa()aa,1,6,0,0,0,0.0,0,9
